Method: Grid Sampling | Distance: 8.80 | Density: 0.807 | UniformStep: 3 | GridSize: 3 | DistanceSpacing: 2.504 | Points: 51984 / 465920 (11.16%) | Reduction: 88.84% | FPS: 60.0 | Frame: 16.66 ms | CPU: 7.24 ms | Cloud: 4.00 MB | Effective LOD: 0.45 MB | RAM: 110.55 MB | Draw calls: 1 | Throughput: 3.12 M pts/s
Method: Grid Sampling | Distance: 8.80 | Density: 0.807 | UniformStep: 3 | GridSize: 3 | DistanceSpacing: 2.504 | Points: 51984 / 465920 (11.16%) | Reduction: 88.84% | FPS: 60.0 | Frame: 16.67 ms | CPU: 6.83 ms | Cloud: 4.00 MB | Effective LOD: 0.45 MB | RAM: 110.55 MB | Draw calls: 1 | Throughput: 3.12 M pts/s
Method: Grid Sampling | Distance: 10.10 | Density: 0.763 | UniformStep: 3 | GridSize: 3 | DistanceSpacing: 2.841 | Points: 51984 / 465920 (11.16%) | Reduction: 88.84% | FPS: 60.0 | Frame: 16.68 ms | CPU: 7.49 ms | Cloud: 4.00 MB | Effective LOD: 0.45 MB | RAM: 110.55 MB | Draw calls: 1 | Throughput: 3.12 M pts/s
Method: Grid Sampling | Distance: 11.60 | Density: 0.713 | UniformStep: 4 | GridSize: 3 | DistanceSpacing: 3.230 | Points: 51984 / 465920 (11.16%) | Reduction: 88.84% | FPS: 60.0 | Frame: 16.68 ms | CPU: 7.67 ms | Cloud: 4.00 MB | Effective LOD: 0.45 MB | RAM: 110.55 MB | Draw calls: 1 | Throughput: 3.12 M pts/s
Method: Grid Sampling | Distance: 13.10 | Density: 0.663 | UniformStep: 4 | GridSize: 4 | DistanceSpacing: 3.619 | Points: 29184 / 465920 (6.26%) | Reduction: 93.74% | FPS: 60.0 | Frame: 16.68 ms | CPU: 6.02 ms | Cloud: 4.00 MB | Effective LOD: 0.25 MB | RAM: 110.55 MB | Draw calls: 1 | Throughput: 1.75 M pts/s
Method: Grid Sampling | Distance: 13.10 | Density: 0.663 | UniformStep: 4 | GridSize: 4 | DistanceSpacing: 3.619 | Points: 29184 / 465920 (6.26%) | Reduction: 93.74% | FPS: 60.0 | Frame: 16.67 ms | CPU: 6.19 ms | Cloud: 4.00 MB | Effective LOD: 0.25 MB | RAM: 110.55 MB | Draw calls: 1 | Throughput: 1.75 M pts/s
Method: Grid Sampling | Distance: 13.10 | Density: 0.663 | UniformStep: 4 | GridSize: 4 | DistanceSpacing: 3.619 | Points: 29184 / 465920 (6.26%) | Reduction: 93.74% | FPS: 60.0 | Frame: 16.67 ms | CPU: 5.66 ms | Cloud: 4.00 MB | Effective LOD: 0.25 MB | RAM: 110.55 MB | Draw calls: 1 | Throughput: 1.75 M pts/s
Method: Grid Sampling | Distance: 13.50 | Density: 0.650 | UniformStep: 5 | GridSize: 4 | DistanceSpacing: 3.722 | Points: 29184 / 465920 (6.26%) | Reduction: 93.74% | FPS: 60.1 | Frame: 16.65 ms | CPU: 5.59 ms | Cloud: 4.00 MB | Effective LOD: 0.25 MB | RAM: 110.55 MB | Draw calls: 1 | Throughput: 1.75 M pts/s
Method: Grid Sampling | Distance: 15.70 | Density: 0.577 | UniformStep: 5 | GridSize: 4 | DistanceSpacing: 4.293 | Points: 29184 / 465920 (6.26%) | Reduction: 93.74% | FPS: 60.1 | Frame: 16.65 ms | CPU: 5.88 ms | Cloud: 4.00 MB | Effective LOD: 0.25 MB | RAM: 110.55 MB | Draw calls: 1 | Throughput: 1.75 M pts/s
Method: Grid Sampling | Distance: 16.60 | Density: 0.547 | UniformStep: 6 | GridSize: 5 | DistanceSpacing: 4.526 | Points: 18746 / 465920 (4.02%) | Reduction: 95.98% | FPS: 60.0 | Frame: 16.67 ms | CPU: 5.12 ms | Cloud: 4.00 MB | Effective LOD: 0.16 MB | RAM: 110.55 MB | Draw calls: 1 | Throughput: 1.12 M pts/s
Method: Grid Sampling | Distance: 18.40 | Density: 0.487 | UniformStep: 6 | GridSize: 5 | DistanceSpacing: 4.993 | Points: 18746 / 465920 (4.02%) | Reduction: 95.98% | FPS: 60.0 | Frame: 16.66 ms | CPU: 6.26 ms | Cloud: 4.00 MB | Effective LOD: 0.16 MB | RAM: 110.55 MB | Draw calls: 1 | Throughput: 1.13 M pts/s
Method: Grid Sampling | Distance: 20.00 | Density: 0.433 | UniformStep: 7 | GridSize: 5 | DistanceSpacing: 5.407 | Points: 18746 / 465920 (4.02%) | Reduction: 95.98% | FPS: 60.1 | Frame: 16.65 ms | CPU: 5.12 ms | Cloud: 4.00 MB | Effective LOD: 0.16 MB | RAM: 110.55 MB | Draw calls: 1 | Throughput: 1.13 M pts/s
Method: Grid Sampling | Distance: 21.80 | Density: 0.373 | UniformStep: 7 | GridSize: 6 | DistanceSpacing: 5.874 | Points: 13072 / 465920 (2.81%) | Reduction: 97.19% | FPS: 60.0 | Frame: 16.67 ms | CPU: 4.82 ms | Cloud: 4.00 MB | Effective LOD: 0.11 MB | RAM: 110.55 MB | Draw calls: 1 | Throughput: 0.78 M pts/s
Method: Grid Sampling | Distance: 23.50 | Density: 0.317 | UniformStep: 8 | GridSize: 6 | DistanceSpacing: 6.315 | Points: 13072 / 465920 (2.81%) | Reduction: 97.19% | FPS: 60.0 | Frame: 16.66 ms | CPU: 5.45 ms | Cloud: 4.00 MB | Effective LOD: 0.11 MB | RAM: 110.55 MB | Draw calls: 1 | Throughput: 0.78 M pts/s
Method: Grid Sampling | Distance: 25.30 | Density: 0.257 | UniformStep: 8 | GridSize: 7 | DistanceSpacing: 6.781 | Points: 9620 / 465920 (2.06%) | Reduction: 97.94% | FPS: 60.1 | Frame: 16.64 ms | CPU: 5.42 ms | Cloud: 4.00 MB | Effective LOD: 0.08 MB | RAM: 110.51 MB | Draw calls: 1 | Throughput: 0.58 M pts/s
Method: Grid Sampling | Distance: 27.20 | Density: 0.193 | UniformStep: 9 | GridSize: 7 | DistanceSpacing: 7.274 | Points: 9620 / 465920 (2.06%) | Reduction: 97.94% | FPS: 60.0 | Frame: 16.67 ms | CPU: 5.00 ms | Cloud: 4.00 MB | Effective LOD: 0.08 MB | RAM: 110.51 MB | Draw calls: 1 | Throughput: 0.58 M pts/s
Method: Grid Sampling | Distance: 27.70 | Density: 0.177 | UniformStep: 9 | GridSize: 7 | DistanceSpacing: 7.404 | Points: 9620 / 465920 (2.06%) | Reduction: 97.94% | FPS: 60.0 | Frame: 16.67 ms | CPU: 4.91 ms | Cloud: 4.00 MB | Effective LOD: 0.08 MB | RAM: 110.51 MB | Draw calls: 1 | Throughput: 0.58 M pts/s
Method: Grid Sampling | Distance: 27.70 | Density: 0.177 | UniformStep: 9 | GridSize: 7 | DistanceSpacing: 7.404 | Points: 9620 / 465920 (2.06%) | Reduction: 97.94% | FPS: 60.0 | Frame: 16.68 ms | CPU: 4.76 ms | Cloud: 4.00 MB | Effective LOD: 0.08 MB | RAM: 110.51 MB | Draw calls: 1 | Throughput: 0.58 M pts/s
Method: Grid Sampling | Distance: 27.90 | Density: 0.170 | UniformStep: 9 | GridSize: 7 | DistanceSpacing: 7.456 | Points: 9620 / 465920 (2.06%) | Reduction: 97.94% | FPS: 60.1 | Frame: 16.65 ms | CPU: 4.87 ms | Cloud: 4.00 MB | Effective LOD: 0.08 MB | RAM: 110.51 MB | Draw calls: 1 | Throughput: 0.58 M pts/s
Method: Grid Sampling | Distance: 27.90 | Density: 0.170 | UniformStep: 9 | GridSize: 7 | DistanceSpacing: 7.456 | Points: 9620 / 465920 (2.06%) | Reduction: 97.94% | FPS: 59.9 | Frame: 16.69 ms | CPU: 5.01 ms | Cloud: 4.00 MB | Effective LOD: 0.08 MB | RAM: 110.51 MB | Draw calls: 1 | Throughput: 0.58 M pts/s
